"","season","matchID","inn1EOIRuns","predO6EOIRuns","errO6Run","errO6Per","predO10EOIRuns","errO10Run","errO10Per","predO15EOIRuns","errO15Run","errO15Per","inn2EOIRuns","predO26EOIRuns","errO26Run","errO26Per","predO26TeamBatFirstWinMod","actualTeamBatFirstWin","correctPredWinModO26","predO26TeamBatFirstWinEOI","correctPredWinEOIO26","predO30EOIRuns","errO30Run","errO30Per","predO30TeamBatFirstWinMod","correctPredWinModO30","predO30TeamBatFirstWinEOI","correctPredWinEOIO30","predO30EOIRuns.1","errO35Run","errO35Per","predO35TeamBatFirstWinMod","correctPredWinModO35","predO35TeamBatFirstWinEOI","correctPredWinEOIO35"
"1",2015,829710,168,144.557308507219,-23.44,-13.95,139.671889031714,-28.33,-16.86,153.774584392077,-14.23,-8.47,170,148.821440446712,-21.18,-12.46,TRUE,FALSE,FALSE,TRUE,FALSE,160.848388290052,-9.15,-5.38,FALSE,TRUE,TRUE,FALSE,160.848388290052,-3.3,-1.94,FALSE,TRUE,TRUE,FALSE
"11",2015,829712,150,172.520922428098,22.52,15.01,165.478605434806,15.48,10.32,162.07567947372,12.08,8.05,149,134.943893487394,-14.06,-9.43,TRUE,TRUE,TRUE,TRUE,TRUE,138.609941988567,-10.39,-6.97,TRUE,TRUE,TRUE,TRUE,138.609941988567,-11.58,-7.77,TRUE,TRUE,TRUE,TRUE
"12",2015,829714,162,129.748882875756,-32.25,-19.91,156.188187529693,-5.81,-3.59,154.070967005611,-7.93,-4.89,136,142.197151304409,6.2,4.56,TRUE,TRUE,TRUE,TRUE,TRUE,130.528712602535,-5.47,-4.02,TRUE,TRUE,TRUE,TRUE,130.528712602535,0.17,0.12,TRUE,TRUE,TRUE,TRUE
"13",2015,829716,209,178.300650073135,-30.7,-14.69,185.853630436688,-23.15,-11.07,200.710401528992,-8.29,-3.97,164,166.107325387857,2.11,1.28,TRUE,TRUE,TRUE,TRUE,TRUE,170.376661508573,6.38,3.89,TRUE,TRUE,TRUE,TRUE,170.376661508573,-2.84,-1.73,TRUE,TRUE,TRUE,TRUE
"14",2015,829718,177,180.936756050786,3.94,2.22,180.040978767713,3.04,1.72,170.994147006658,-6.01,-3.39,179,159.486458180719,-19.51,-10.9,TRUE,FALSE,FALSE,TRUE,FALSE,153.34004619554,-25.66,-14.34,TRUE,FALSE,TRUE,FALSE,153.34004619554,-11.9,-6.65,TRUE,FALSE,TRUE,FALSE
"15",2015,829720,184,173.561863103469,-10.44,-5.67,180.69228715607,-3.31,-1.8,175.668281629,-8.33,-4.53,186,161.307513488295,-24.69,-13.28,TRUE,FALSE,FALSE,TRUE,FALSE,159.272873421675,-26.73,-14.37,TRUE,FALSE,TRUE,FALSE,159.272873421675,-15.55,-8.36,TRUE,FALSE,TRUE,FALSE
"16",2015,829722,177,184.07199064606,7.07,4,177.214520919933,0.21,0.12,179.227946205501,2.23,1.26,159,127.490948983315,-31.51,-19.82,TRUE,TRUE,TRUE,TRUE,TRUE,119.460963004211,-39.54,-24.87,TRUE,TRUE,TRUE,TRUE,119.460963004211,-43.18,-27.16,TRUE,TRUE,TRUE,TRUE
"17",2015,829724,166,169.26737509139,3.27,1.97,173.466406563204,7.47,4.5,158.822530136259,-7.18,-4.32,172,181.15566075705,9.16,5.32,FALSE,FALSE,TRUE,FALSE,TRUE,173.15996775997,1.16,0.67,FALSE,TRUE,FALSE,TRUE,173.15996775997,-1.62,-0.94,FALSE,TRUE,FALSE,TRUE
"18",2015,829726,164,148.517423925564,-15.48,-9.44,127.28466515823,-36.72,-22.39,131.700601760656,-32.3,-19.69,165,153.00032066041,-12,-7.27,FALSE,FALSE,TRUE,TRUE,FALSE,152.600829843078,-12.4,-7.51,FALSE,TRUE,TRUE,FALSE,152.600829843078,-6.82,-4.13,FALSE,TRUE,TRUE,FALSE
"19",2015,829728,165,169.92660097606,4.93,2.99,158.52307296253,-6.48,-3.93,167.214200203871,2.21,1.34,169,149.857372350969,-19.14,-11.33,TRUE,FALSE,FALSE,TRUE,FALSE,146.943112063501,-22.06,-13.05,TRUE,FALSE,TRUE,FALSE,146.943112063501,-14.59,-8.63,FALSE,TRUE,TRUE,FALSE
"110",2015,829730,165,158.154313497852,-6.85,-4.15,169.33733193871,4.34,2.63,164.161812410629,-0.84,-0.51,169,150.86539090073,-18.13,-10.73,FALSE,FALSE,TRUE,TRUE,FALSE,139.454987937467,-29.55,-17.48,TRUE,FALSE,TRUE,FALSE,139.454987937467,-13.29,-7.86,FALSE,TRUE,TRUE,FALSE
"111",2015,829732,127,147.217838815477,20.22,15.92,137.607351719466,10.61,8.35,138.945620228426,11.95,9.41,131,126.816646311436,-4.18,-3.19,FALSE,FALSE,TRUE,TRUE,FALSE,127.411079908273,-3.59,-2.74,FALSE,TRUE,FALSE,TRUE,127.411079908273,-7.65,-5.84,FALSE,TRUE,TRUE,FALSE
"112",2015,829734,183,129.111587362902,-53.89,-29.45,138.258660107824,-44.74,-24.45,172.820023132847,-10.18,-5.56,189,189.04400755637,0.04,0.02,FALSE,FALSE,TRUE,FALSE,TRUE,192.335614757238,3.34,1.76,FALSE,TRUE,FALSE,TRUE,192.335614757238,6.84,3.62,FALSE,TRUE,FALSE,TRUE
"113",2015,829736,167,155.6543669563,-11.35,-6.79,176.563212531575,9.56,5.73,177.15927582729,10.16,6.08,163,164.972159382897,1.97,1.21,FALSE,TRUE,FALSE,TRUE,TRUE,160.888749694291,-2.11,-1.3,TRUE,TRUE,TRUE,TRUE,160.888749694291,-9.11,-5.59,FALSE,FALSE,TRUE,TRUE
"114",2015,829738,155,147.937452034478,-7.06,-4.56,160.317262154187,5.32,3.43,156.263325280399,1.26,0.82,159,148.419659079889,-10.58,-6.65,FALSE,FALSE,TRUE,TRUE,FALSE,129.485145778894,-29.51,-18.56,TRUE,FALSE,TRUE,FALSE,129.485145778894,-9.97,-6.27,FALSE,TRUE,TRUE,FALSE
"115",2015,829740,156,154.283192030268,-1.72,-1.1,144.452272044566,-11.55,-7.4,154.703640941575,-1.3,-0.83,157,152.402415659676,-4.6,-2.93,FALSE,FALSE,TRUE,TRUE,FALSE,164.484769160842,7.48,4.77,FALSE,TRUE,FALSE,TRUE,164.484769160842,24.26,15.45,FALSE,TRUE,FALSE,TRUE
"116",2015,829742,209,170.249864555065,-38.75,-18.54,179.660018499946,-29.34,-14.04,188.784994186646,-20.22,-9.67,191,166.097642842072,-24.9,-13.04,TRUE,TRUE,TRUE,TRUE,TRUE,152.391902505006,-38.61,-20.21,TRUE,TRUE,TRUE,TRUE,152.391902505006,-22,-11.52,TRUE,TRUE,TRUE,TRUE
"117",2015,829744,146,142.151927405402,-3.85,-2.64,152.059112905198,6.06,4.15,144.199497904681,-1.8,-1.23,147,137.031180328192,-9.97,-6.78,FALSE,FALSE,TRUE,TRUE,FALSE,138.329544098037,-8.67,-5.9,FALSE,TRUE,TRUE,FALSE,138.329544098037,-1.29,-0.88,FALSE,TRUE,TRUE,FALSE
"118",2015,829746,191,169.492157903262,-21.51,-11.26,193.460471297321,2.46,1.29,187.909469648718,-3.09,-1.62,191,166.913954685149,-24.09,-12.61,TRUE,FALSE,FALSE,TRUE,FALSE,151.904676383251,-39.1,-20.47,TRUE,FALSE,TRUE,FALSE,151.904676383251,-23.24,-12.17,TRUE,FALSE,TRUE,FALSE
"119",2015,829750,181,166.76257490128,-14.24,-7.87,171.020908983191,-9.98,-5.51,178.218158105604,-2.78,-1.54,154,150.868734319558,-3.13,-2.03,TRUE,TRUE,TRUE,TRUE,TRUE,156.077221937492,2.08,1.35,TRUE,TRUE,TRUE,TRUE,156.077221937492,-4.77,-3.1,TRUE,TRUE,TRUE,TRUE
"120",2015,829752,190,168.455323084538,-21.54,-11.34,161.07918268972,-28.92,-15.22,198.80287563729,8.8,4.63,153,156.821761486608,3.82,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,163.749979915897,10.75,7.03,TRUE,TRUE,TRUE,TRUE,163.749979915897,12.74,8.32,TRUE,TRUE,TRUE,TRUE
"121",2015,829754,130,156.819570910028,26.82,20.63,156.188187529693,26.19,20.14,140.973307176735,10.97,8.44,134,139.799458623857,5.8,4.33,FALSE,FALSE,TRUE,FALSE,TRUE,145.597297449064,11.6,8.65,FALSE,TRUE,FALSE,TRUE,145.597297449064,17.84,13.32,FALSE,TRUE,FALSE,TRUE
"122",2015,829756,157,164.834338607631,7.83,4.99,161.730491078077,4.73,3.01,155.3683964804,-1.63,-1.04,137,146.209093393905,9.21,6.72,FALSE,TRUE,FALSE,TRUE,TRUE,145.05306495491,8.05,5.88,FALSE,FALSE,TRUE,TRUE,145.05306495491,10,7.3,TRUE,TRUE,TRUE,TRUE
"123",2015,829758,192,179.932059391909,-12.07,-6.29,194.111779685678,2.11,1.1,195.638735385376,3.64,1.9,95,151.98417593002,56.98,59.98,TRUE,TRUE,TRUE,TRUE,TRUE,126.459956961394,31.46,33.12,TRUE,TRUE,TRUE,TRUE,126.459956961394,20.63,21.72,TRUE,TRUE,TRUE,TRUE
"124",2015,829764,150,165.110334912273,15.11,10.07,159.284993498064,9.28,6.19,158.727486141743,8.73,5.82,130,129.852222538575,-0.15,-0.11,TRUE,TRUE,TRUE,TRUE,TRUE,118.708596283928,-11.29,-8.69,TRUE,TRUE,TRUE,TRUE,118.708596283928,-5.64,-4.34,TRUE,TRUE,TRUE,TRUE
"125",2015,829766,171,165.963353538185,-5.04,-2.95,161.730491078077,-9.27,-5.42,154.377952965269,-16.62,-9.72,158,158.206175746012,0.21,0.13,TRUE,TRUE,TRUE,TRUE,TRUE,167.471045153565,9.47,5.99,TRUE,TRUE,TRUE,TRUE,167.471045153565,-11.61,-7.35,TRUE,TRUE,TRUE,TRUE
"126",2015,829770,134,177.197105579882,43.2,32.24,156.188187529693,22.19,16.56,140.831521096601,6.83,5.1,132,135.609070376002,3.61,2.73,FALSE,TRUE,FALSE,FALSE,FALSE,129.327852131989,-2.67,-2.02,FALSE,FALSE,TRUE,TRUE,129.327852131989,-5.59,-4.24,FALSE,FALSE,TRUE,TRUE
"127",2015,829772,118,115.332340200064,-2.67,-2.26,108.593217200828,-9.41,-7.97,113.925754983394,-4.07,-3.45,119,127.092342888545,8.09,6.8,FALSE,FALSE,TRUE,FALSE,TRUE,142.041385682051,23.04,19.36,FALSE,TRUE,FALSE,TRUE,142.041385682051,-5.59,-4.24,FALSE,FALSE,TRUE,TRUE
"128",2015,829774,187,170.583474513853,-16.42,-8.78,171.020908983191,-15.98,-8.54,164.570570208523,-22.43,-11.99,179,168.961138015786,-10.04,-5.61,TRUE,TRUE,TRUE,TRUE,TRUE,158.878673991116,-20.12,-11.24,TRUE,TRUE,TRUE,TRUE,158.878673991116,-0.44,-0.24,FALSE,FALSE,TRUE,TRUE
"129",2015,829778,192,205.722572029906,13.72,7.15,197.859894042406,5.86,3.05,195.495689082424,3.5,1.82,170,163.254156563089,-6.75,-3.97,TRUE,TRUE,TRUE,TRUE,TRUE,166.178234889941,-3.82,-2.25,TRUE,TRUE,TRUE,TRUE,166.178234889941,1.33,0.78,TRUE,TRUE,TRUE,TRUE
"130",2015,829780,172,181.228134437116,9.23,5.37,199.654083234063,27.65,16.08,182.81376007428,10.81,6.29,149,153.617079328766,4.62,3.1,TRUE,TRUE,TRUE,TRUE,TRUE,146.611154602289,-2.39,-1.6,TRUE,TRUE,TRUE,TRUE,146.611154602289,6.92,4.64,FALSE,FALSE,TRUE,TRUE
"131",2015,829782,189,170.493069023196,-18.51,-9.79,170.369600594833,-18.63,-9.86,175.343415906611,-13.66,-7.23,175,168.931145352039,-6.07,-3.47,TRUE,TRUE,TRUE,TRUE,TRUE,146.899624844783,-28.1,-16.06,TRUE,TRUE,TRUE,TRUE,146.899624844783,-15.65,-8.94,TRUE,TRUE,TRUE,TRUE
"132",2015,829784,148,147.015032646744,-0.98,-0.67,157.601416453583,9.6,6.49,146.109634826163,-1.89,-1.28,124,126.042260287725,2.04,1.65,TRUE,TRUE,TRUE,TRUE,TRUE,130.613821489832,6.61,5.33,FALSE,FALSE,TRUE,TRUE,130.613821489832,6.62,5.34,TRUE,TRUE,TRUE,TRUE
"133",2015,829786,167,181.131845009999,14.13,8.46,173.466406563204,6.47,3.87,147.442598284916,-19.56,-11.71,132,141.770430978948,9.77,7.4,TRUE,TRUE,TRUE,TRUE,TRUE,137.954588120963,5.95,4.51,TRUE,TRUE,TRUE,TRUE,137.954588120963,-1.97,-1.49,TRUE,TRUE,TRUE,TRUE
"134",2015,829788,152,160.287915674137,8.29,5.45,152.059112905198,0.06,0.04,145.294311388659,-6.71,-4.41,153,130.551780030885,-22.45,-14.67,TRUE,FALSE,FALSE,TRUE,FALSE,123.887132634169,-29.11,-19.03,TRUE,FALSE,TRUE,FALSE,123.887132634169,-19.77,-12.92,TRUE,FALSE,TRUE,FALSE
"135",2015,829790,226,201.821034231432,-24.18,-10.7,207.912232483052,-18.09,-8,232.439703898117,6.44,2.85,88,151.908667960864,63.91,72.62,TRUE,TRUE,TRUE,TRUE,TRUE,149.11633903328,61.12,69.45,TRUE,TRUE,TRUE,TRUE,149.11633903328,-19.77,-12.92,TRUE,FALSE,TRUE,FALSE
"136",2015,829792,201,181.761502795393,-19.24,-9.57,184.821361780565,-16.18,-8.05,179.387651705829,-21.61,-10.75,194,164.030893970865,-29.97,-15.45,TRUE,TRUE,TRUE,TRUE,TRUE,164.43530778809,-29.56,-15.24,TRUE,TRUE,TRUE,TRUE,164.43530778809,-15.43,-7.95,TRUE,TRUE,TRUE,TRUE
"137",2015,829794,158,169.914068313259,11.91,7.54,149.99457559295,-8.01,-5.07,155.988831044474,-2.01,-1.27,159,161.012768273346,2.01,1.27,FALSE,FALSE,TRUE,FALSE,TRUE,157.994022919407,-1.01,-0.63,FALSE,TRUE,TRUE,FALSE,157.994022919407,-15.24,-9.58,FALSE,TRUE,TRUE,FALSE
"138",2015,829796,183,166.508075579037,-16.49,-9.01,171.401869250957,-11.6,-6.34,188.874393540516,5.87,3.21,184,164.885379978526,-19.11,-10.39,FALSE,FALSE,TRUE,TRUE,FALSE,148.082336226927,-35.92,-19.52,TRUE,FALSE,TRUE,FALSE,148.082336226927,-13.07,-7.1,TRUE,FALSE,TRUE,FALSE
"139",2015,829798,163,154.999637959877,-8,-4.91,151.407804516841,-11.59,-7.11,143.766708652696,-19.23,-11.8,157,155.431235209295,-1.57,-1,FALSE,TRUE,FALSE,TRUE,TRUE,141.487210422414,-15.51,-9.88,TRUE,TRUE,TRUE,TRUE,141.487210422414,-12.33,-7.86,TRUE,TRUE,TRUE,TRUE
"140",2015,829800,235,153.254424293348,-81.75,-34.79,184.821361780565,-50.18,-21.35,209.173019388738,-25.83,-10.99,196,190.700561865383,-5.3,-2.7,TRUE,TRUE,TRUE,TRUE,TRUE,190.940702055346,-5.06,-2.58,TRUE,TRUE,TRUE,TRUE,190.940702055346,2.43,1.24,TRUE,TRUE,TRUE,TRUE
"141",2015,829802,157,142.019442264071,-14.98,-9.54,149.343267204593,-7.66,-4.88,163.980436031078,6.98,4.45,145,139.893496605418,-5.11,-3.52,FALSE,TRUE,FALSE,TRUE,TRUE,143.076634551246,-1.92,-1.33,TRUE,TRUE,TRUE,TRUE,143.076634551246,-9.21,-6.35,TRUE,TRUE,TRUE,TRUE
"142",2015,829804,185,189.454317490349,4.45,2.41,182.756824468317,-2.24,-1.21,193.80763965076,8.81,4.76,180,161.100978905157,-18.9,-10.5,TRUE,TRUE,TRUE,TRUE,TRUE,145.662457664499,-34.34,-19.08,TRUE,TRUE,TRUE,TRUE,145.662457664499,-29.93,-16.63,TRUE,TRUE,TRUE,TRUE
"143",2015,829806,119,132.549035935454,13.55,11.39,128.316933814353,9.32,7.83,134.992194267347,15.99,13.44,120,109.153929144763,-10.85,-9.04,FALSE,FALSE,TRUE,TRUE,FALSE,109.577471428687,-10.42,-8.69,FALSE,TRUE,TRUE,FALSE,109.577471428687,-0.59,-0.49,FALSE,TRUE,FALSE,TRUE
