"","rowID","season","matchID","actualTeamBatFirstWin","predO0TeamBatFirstWinMod","predO20TeamBatFirstWinMod","predO26TeamBatFirstWinMod","predO30TeamBatFirstWinMod","predO35TeamBatFirstWinMod","predO26TeamBatFirstWinEOI","predO30TeamBatFirstWinEOI","predO35TeamBatFirstWinEOI","inn1EOIRuns","predO6EOIRuns","predO10EOIRuns","predO15EOIRuns","inn2EOIRuns","predO26EOIRuns","predO30EOIRuns","predO35EOIRuns","errO35Run","errO35Per","errO30Run","errO30Per","errO26Run","errO26Per","errO15Run","errO15Per","errO10Run","errO10Per","errO6Run","errO6Per","correctPredWinEOIO35","correctPredWinEOIO30","correctPredWinEOIO26","correctPredWinModO35","correctPredWinModO30","correctPredWinModO26","correctPredWinModO20","correctPredWinModO0"
"1",1,2015,829710,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,168,166,151,140,170,144,168,167,-2.77,-1.63,-1.53,-0.9,-25.84,-15.2,-28.43,-16.93,-16.75,-9.97,-1.85,-1.1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"2",2,2015,829712,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150,182,178,141,149,130,138,132,-17,-11.7,-11,-7.1,-19,-13,-9,-6.1,28,18.8,32,21.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3",3,2015,829714,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,162,134,164,121,136,147,138,135,-1,-0.7,2,1.5,11,8.4,-41,-25.3,2,1.2,-28,-17.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4",4,2015,829716,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,209,186,196,175,164,165,172,162,-2,-1,8,4.9,1,0.6,-34,-16.3,-13,-6.3,-23,-10.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5",5,2015,829718,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,177,195,189,155,179,159,162,162,-17,-9.5,-17,-9.3,-20,-11.1,-22,-12.6,12,6.7,18,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"6",6,2015,829720,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,184,181,185,152,186,164,168,172,-14,-7.6,-18,-9.5,-22,-11.9,-32,-17.2,1,0.6,-3,-1.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"7",7,2015,829722,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,177,196,185,154,159,138,131,121,-38,-24.2,-28,-17.6,-21,-13.2,-23,-13.2,8,4.8,19,10.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"8",8,2015,829724,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,166,177,184,136,172,173,177,171,-1,-0.7,5,2.7,1,0.4,-30,-18,18,10.7,11,6.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"9",9,2015,829726,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,164,170,145,120,165,154,163,158,-7,-4.4,-2,-1.3,-11,-6.6,-44,-26.7,-19,-11.7,6,3.8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"10",10,2015,829728,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,165,181,158,141,169,143,146,156,-13,-7.8,-23,-13.5,-26,-15.6,-24,-14.8,-7,-4.1,16,9.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
