"","season","Overs","RMSE1","Innings"
"1",2015,10,17.4,"1"
"2",2015,15,28.22,"1"
"3",2015,6,21.46,"2"
"4",2015,10,20.43,"2"
"5",2015,15,14.5,"2"
"6",2015,6,21.07,"1"
"7",2016,10,19.29,"1"
"8",2016,15,13.81,"1"
"9",2016,6,21.2,"2"
"10",2016,10,19.1,"2"
"11",2016,15,14.97,"2"
"12",2016,6,26.23,"1"
"13",2017,10,16.82,"1"
"14",2017,15,11.67,"1"
"15",2017,6,20.8,"2"
"16",2017,10,18.42,"2"
"17",2017,15,16.79,"2"
"18",2017,6,19.02,"1"
"19",2018,10,24.91,"1"
"20",2018,15,16.38,"1"
"21",2018,6,25.47,"2"
"22",2018,10,24.57,"2"
"23",2018,15,15.66,"2"
"24",2018,6,28,"1"
