"","Season","Match_id","BatFirst","BatSecond","toss","winner","TeamBattingFirstWon","venueGround","venueCity","interactionCurrTeams","interactionVenueBatTeam","Inn1EOIOvers","Inn1EOIRuns","Inn1EOIWkts","Inn2EOIOvers","Inn2EOIRuns","Inn2EOIWkts","BatFirstWonLastMat","BatSecondWonLastMat","BatFirstWinsInLast3Mat","BatSecondWinsInLast3Mat","BatFirstWinsInLast5Mat","BatSecondWinsInLast5Mat","Over1Runs","Over1Wkts","Over2Runs","Over2Wkts","Over3Runs","Over3Wkts","Over4Runs","Over4Wkts","Over5Runs","Over5Wkts","Over6Runs","Over6Wkts","Over7Runs","Over7Wkts","Over8Runs","Over8Wkts","Over9Runs","Over9Wkts","Over10Runs","Over10Wkts","Over11Runs","Over11Wkts","Over12Runs","Over12Wkts","Over13Runs","Over13Wkts","Over14Runs","Over14Wkts","Over15Runs","Over15Wkts","Over16Runs","Over16Wkts","Over17Runs","Over17Wkts","Over18Runs","Over18Wkts","Over19Runs","Over19Wkts","Over20Runs","Over20Wkts","Over21Runs","Over21Wkts","Over22Runs","Over22Wkts","Over23Runs","Over23Wkts","Over24Runs","Over24Wkts","Over25Runs","Over25Wkts","Over26Runs","Over26Wkts","Over27Runs","Over27Wkts","Over28Runs","Over28Wkts","Over29Runs","Over29Wkts","Over30Runs","Over30Wkts","Over31Runs","Over31Wkts","Over32Runs","Over32Wkts","Over33Runs","Over33Wkts","Over34Runs","Over34Wkts","Over35Runs","Over35Wkts","Over36Runs","Over36Wkts","Over37Runs","Over37Wkts","Over38Runs","Over38Wkts","Over39Runs","Over39Wkts","Over40Runs","Over40Wkts"
"1",2008,335987,"Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","Kolkata Knight Riders",TRUE,"M Chinnaswamy Stadium","Bangalore",84,252,20,222,3,16,82,10,0,0,0,0,0,0,3,0,21,0,27,0,50,0,60,0,61,1,68,1,73,1,77,1,87,1,112,1,112,1,124,2,130,2,154,2,158,2,172,2,179,3,200,3,222,3,4,0,9,1,12,2,16,2,24,3,26,4,33,4,38,5,43,7,51,7,56,7,59,8,70,8,77,9,81,9,82,10,-1,-1,-1,-1,-1,-1,-1,-1
"2",2008,335988,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings",TRUE,"Punjab Cricket Association Stadium, Mohali","Chandigarh",5,40,20,240,5,20,207,4,0,0,0,0,0,0,5,0,20,0,27,1,33,1,42,1,53,1,62,2,70,3,83,3,88,3,127,3,127,3,133,4,143,4,161,4,169,5,183,5,200,5,215,5,240,5,9,0,16,0,27,0,37,0,47,0,63,1,69,1,84,1,97,1,110,1,115,2,127,2,141,2,152,2,165,3,176,3,186,3,191,4,198,4,207,4
"3",2008,335989,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",FALSE,"Feroz Shah Kotla","Delhi",30,330,20,125,8,16,132,1,0,0,0,0,0,0,7,0,17,0,17,1,27,2,33,2,36,2,40,3,44,4,47,4,53,4,67,5,67,5,76,6,83,6,92,7,102,7,106,7,107,8,117,8,125,8,8,0,21,1,26,1,36,1,48,1,55,1,59,1,71,1,78,1,86,1,95,1,100,1,111,1,115,1,128,1,132,1,-1,-1,-1,-1,-1,-1,-1,-1
"4",2008,335990,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore",FALSE,"Wankhede Stadium","Mumbai",96,2400,20,165,6,20,166,5,0,0,0,0,0,0,8,0,13,1,19,1,22,1,41,1,47,2,54,2,60,2,72,2,74,2,94,2,94,2,97,2,99,3,105,3,118,3,129,4,149,4,158,5,165,6,10,0,11,0,22,0,27,0,37,1,40,1,46,1,54,1,69,2,76,3,80,3,94,3,104,3,109,4,118,4,126,4,136,4,155,4,163,5,166,5
"5",2008,335991,"Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders",FALSE,"Eden Gardens","Kolkata",14,322,19,110,10,19,112,5,0,0,0,0,0,0,9,0,14,0,21,0,21,1,23,2,39,2,45,2,47,2,48,4,52,4,59,4,59,5,62,5,65,5,77,6,82,6,102,6,105,8,110,10,-1,-1,6,0,16,1,18,2,21,2,23,3,26,3,33,3,34,3,35,3,38,3,49,3,64,3,68,4,77,4,81,4,87,4,90,5,103,5,112,5,-1,-1
"6",2008,335992,"Kings XI Punjab","Rajasthan Royals","Kings XI Punjab","Rajasthan Royals",FALSE,"Sawai Mansingh Stadium","Jaipur",50,900,20,166,8,19,168,4,0,0,0,0,0,0,1,0,6,0,16,0,24,0,38,1,54,1,59,2,70,3,73,4,82,4,97,4,97,4,101,4,112,4,115,4,128,4,136,5,138,7,149,8,166,8,6,0,13,1,28,2,42,2,48,3,53,3,60,3,65,3,76,3,87,3,99,3,102,4,114,4,127,4,142,4,152,4,154,4,164,4,168,4,-1,-1
"7",2008,335993,"Deccan Chargers","Delhi Daredevils","Deccan Chargers","Delhi Daredevils",FALSE,"Rajiv Gandhi International Stadium, Uppal","Hyderabad",6,90,20,142,8,14,143,1,0,0,0,0,0,0,1,0,9,1,15,1,16,1,23,1,25,2,34,2,36,3,43,3,45,4,60,4,60,4,62,5,68,5,73,5,82,5,90,6,116,6,128,7,142,8,4,0,18,0,30,0,32,1,37,1,48,1,55,1,60,1,83,1,95,1,100,1,112,1,142,1,143,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"8",2008,335994,"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Chennai Super Kings",TRUE,"MA Chidambaram Stadium, Chepauk","Chennai",8,72,20,208,5,20,202,7,0,0,0,0,0,0,7,0,16,0,34,0,35,1,40,2,53,2,59,2,64,2,72,2,82,2,112,2,112,2,123,2,137,2,143,3,158,3,168,3,182,3,194,4,208,5,9,1,13,1,25,1,31,2,50,2,52,2,57,2,68,2,75,2,83,3,90,3,99,4,110,4,130,4,134,5,147,6,168,6,181,6,190,7,202,7
"9",2008,335995,"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","Rajasthan Royals",FALSE,"Rajiv Gandhi International Stadium, Uppal","Hyderabad",20,300,20,214,5,20,217,7,0,0,0,0,0,0,12,0,22,0,32,2,33,2,48,2,58,2,61,2,72,2,78,3,85,3,108,3,108,3,118,3,129,3,148,3,160,3,171,3,186,4,203,4,214,5,5,0,14,0,19,1,35,1,57,1,73,1,82,1,98,1,110,1,114,2,121,2,126,3,134,3,139,3,159,3,176,3,186,3,192,5,198,7,217,7
"10",2008,335996,"Kings XI Punjab","Mumbai Indians","Mumbai Indians","Kings XI Punjab",TRUE,"Punjab Cricket Association Stadium, Mohali","Chandigarh",40,320,20,182,10,20,116,9,0,0,0,0,0,0,2,0,8,1,15,1,25,1,43,1,60,1,70,1,81,1,86,2,94,2,110,3,110,3,116,3,122,4,138,4,146,4,152,5,157,6,169,8,182,10,2,0,14,0,18,2,21,2,34,2,39,2,46,2,61,2,65,3,67,4,68,4,90,4,94,5,98,7,101,7,105,8,106,8,113,9,116,9,116,9
