"","Season","Match_id","BatFirst","BatSecond","toss","winner","TeamBattingFirstWon","venueGround","venueCity","interactionCurrTeams","interactionVenueBatTeam","Inn1EOIOvers","Inn1EOIRuns","Inn1EOIWkts","Inn2EOIOvers","Inn2EOIRuns","Inn2EOIWkts","BatFirstWonLastMat","BatSecondWonLastMat","BatFirstWinsInLast3Mat","BatSecondWinsInLast3Mat","BatFirstWinsInLast5Mat","BatSecondWinsInLast5Mat","Over1Runs","Over1Wkts","Over2Runs","Over2Wkts","Over3Runs","Over3Wkts","Over4Runs","Over4Wkts","Over5Runs","Over5Wkts","Over6Runs","Over6Wkts","Over7Runs","Over7Wkts","Over8Runs","Over8Wkts","Over9Runs","Over9Wkts","Over10Runs","Over10Wkts","Over11Runs","Over11Wkts","Over12Runs","Over12Wkts","Over13Runs","Over13Wkts","Over14Runs","Over14Wkts","Over15Runs","Over15Wkts","Over16Runs","Over16Wkts","Over17Runs","Over17Wkts","Over18Runs","Over18Wkts","Over19Runs","Over19Wkts","Over20Runs","Over20Wkts","Over21Runs","Over21Wkts","Over22Runs","Over22Wkts","Over23Runs","Over23Wkts","Over24Runs","Over24Wkts","Over25Runs","Over25Wkts","Over26Runs","Over26Wkts","Over27Runs","Over27Wkts","Over28Runs","Over28Wkts","Over29Runs","Over29Wkts","Over30Runs","Over30Wkts","Over31Runs","Over31Wkts","Over32Runs","Over32Wkts","Over33Runs","Over33Wkts","Over34Runs","Over34Wkts","Over35Runs","Over35Wkts","Over36Runs","Over36Wkts","Over37Runs","Over37Wkts","Over38Runs","Over38Wkts","Over39Runs","Over39Wkts","Over40Runs","Over40Wkts"
"1",2018,7894,"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Chennai Super Kings",FALSE,"Wankhede Stadium","Mumbai",8,200,20,169,4,19.83,176,9,0,0,0,0,0,0,5,0,7,0,12,1,23,2,27,2,40,2,44,2,53,2,63,2,67,2,99,2,99,2,103,3,114,3,119,4,123,4,143,4,146,4,163,4,169,4,7,0,16,0,19,0,31,1,39,1,42,2,44,3,50,3,52,4,58,4,69,4,78,5,88,6,101,6,111,7,120,7,126,8,146,8,166,9,176,9
"2",2018,7895,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","Kings XI Punjab",FALSE,"Punjab Cricket Association IS Bindra Stadium, Mohali","Mohali",15,360,20,172,7,19,168,4,0,0,0,0,0,0,6,0,12,0,14,1,31,1,41,1,48,1,57,2,65,2,74,2,81,2,94,3,94,3,111,3,122,4,127,5,131,6,142,6,148,6,161,6,172,7,16,0,28,0,52,0,63,1,64,2,73,2,80,2,83,2,97,2,99,3,109,3,115,3,121,3,126,3,132,3,141,4,152,4,157,4,168,4,-1,-1
"3",2018,7896,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders","Kolkata Knight Riders",FALSE,"Eden Gardens","Kolkata",91,2093,20,182,7,19,190,6,0,0,0,0,0,0,14,0,21,1,28,1,34,1,49,1,57,1,59,1,68,1,71,2,87,2,111,2,111,2,121,2,126,2,137,4,142,4,147,4,160,4,166,5,182,7,12,0,16,1,26,1,46,1,66,1,71,2,84,2,88,3,97,3,103,3,112,3,118,3,128,3,140,3,150,4,157,5,173,5,180,6,190,6,-1,-1
"4",2018,7897,"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Sunrisers Hyderabad",FALSE,"Rajiv Gandhi International Stadium, Uppal","Hyderabad",140,2240,20,133,9,15.83,135,1,0,0,0,0,0,0,7,1,12,1,22,1,28,1,43,1,51,1,60,2,61,2,67,3,75,3,91,3,91,3,97,3,100,5,102,6,111,6,121,6,124,7,130,8,133,9,1,0,12,1,26,1,38,1,47,1,60,1,67,1,79,1,83,1,93,1,100,1,108,1,122,1,128,1,131,1,135,1,-1,-1,-1,-1,-1,-1,-1,-1
"5",2018,7898,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Chennai Super Kings",FALSE,"MA Chidambaram Stadium, Chepauk","Chennai",7,70,20,207,6,20,212,5,0,0,0,0,0,0,19,0,21,1,34,1,36,1,48,1,65,2,74,2,81,2,89,4,91,5,106,5,106,5,111,5,121,5,126,5,141,5,160,5,171,6,192,6,207,6,16,0,30,0,36,0,53,0,63,0,75,1,79,1,83,1,86,2,90,2,100,2,103,3,112,3,131,3,148,3,156,3,166,4,181,4,191,5,212,5
"6",2018,7899,"Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","Rajasthan Royals",TRUE,"Sawai Mansingh Stadium","Jaipur",30,540,18,156,5,6,63,4,0,0,0,0,0,0,6,0,14,1,19,1,28,1,43,2,51,2,58,2,62,2,77,2,84,2,99,3,99,3,108,3,113,4,117,4,127,4,146,4,156,5,-1,-1,-1,-1,10,1,17,1,31,1,38,2,48,3,63,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"7",2018,7900,"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","Sunrisers Hyderabad",FALSE,"Rajiv Gandhi International Stadium, Uppal","Hyderabad",112,1792,20,155,8,20,155,9,0,0,0,0,0,0,1,0,11,1,28,1,44,1,53,1,59,3,60,3,64,3,78,4,84,4,93,4,93,4,96,4,106,4,117,5,127,5,135,5,141,6,144,8,155,8,7,0,15,0,29,0,39,0,43,0,57,0,64,1,74,2,84,3,90,3,97,4,107,4,110,5,117,5,124,5,127,5,136,5,139,7,140,9,155,9
"8",2018,7901,"Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","Royal Challengers Bangalore",FALSE,"M Chinnaswamy Stadium","Bengaluru",65,325,19.5,161,10,19.5,163,6,0,0,0,0,0,0,16,0,25,0,33,0,37,3,49,3,51,3,62,3,73,3,81,3,86,3,100,3,100,4,104,5,114,6,125,7,130,7,138,7,147,8,158,9,161,10,10,1,19,1,23,1,33,1,34,2,42,2,49,2,65,2,69,2,81,2,89,2,90,4,95,4,103,4,112,4,119,4,138,4,150,4,155,6,163,6
"9",2018,7902,"Mumbai Indians","Delhi Daredevils","Delhi Daredevils","Delhi Daredevils",FALSE,"Wankhede Stadium","Mumbai",24,600,20,204,7,20,197,3,0,0,0,0,0,0,19,0,30,0,45,0,58,0,72,0,90,0,93,0,99,0,109,1,114,1,129,2,129,2,149,2,157,2,166,2,175,4,184,4,192,5,196,6,204,7,11,0,23,0,25,0,29,0,50,0,53,1,63,1,68,1,85,1,104,1,113,1,119,2,134,2,137,3,149,3,161,3,172,3,181,3,186,3,197,3
"10",2018,7903,"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","Sunrisers Hyderabad",FALSE,"Eden Gardens","Kolkata",98,2254,20,145,8,19,144,5,0,0,0,0,0,0,1,0,10,0,21,1,23,1,37,1,49,1,52,1,55,2,59,2,70,2,89,3,89,3,94,4,101,5,111,5,116,5,118,6,127,6,141,7,145,8,8,0,18,0,35,0,38,1,48,1,50,2,53,2,57,2,62,3,66,3,76,3,92,3,101,3,106,3,116,3,118,4,122,4,131,5,144,5,-1,-1
